Main,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2021,2022,2023,2024,2025,2026,2027,2028
,Revenue,,2.8,2.5,12.4,2.4,7.3,4.2,13.8,0.0,0.0,0.0,0.0,500.0,0.9,1.1,,,,12.405,13.825,0,,,,,
,Total COGC,,-1.1,-2.1,-7.6,-2.0,-2.2,-2.5,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.563,6.714,0,,,,,
,Gross Profit,,1.7,0.3,4.8,0.4,5.1,1.6,7.1,0.0,0.0,0.0,0.0,500.0,0.9,1.1,,,,4.8,7.1,0.0,,,,,
,ESC,,6.3,8.0,29.6,11.7,12.0,14.5,54.2,16.5,22.8,19.5,78.8,19.5,21.2,21.8,,,,29.6,54.2,78.8,,,,,
,SG&A,,9.2,9.3,35.6,11.6,13.1,12.9,48.3,9.9,10.2,11.0,41.6,12.3,17.8,15.6,,,,35.6,48.3,41.6,,,,,
,R&D,,9.1,4.9,23.4,8.3,9.1,13.5,45.6,16.4,10.9,9.4,47.5,4.3,4.5,14.7,,,,23.4,45.6,47.5,,,,,
,Amortization,,0.6,0.9,2.9,1.1,1.2,1.2,4.7,1.7,14.1,19.0,54.5,19.9,20.4,14.5,,,,2.9,4.7,54.5,,,,,
,Operating Expenses,,25.1,23.1,91.6,32.7,35.4,42.1,152.9,44.5,58.1,59.0,222.4,56.0,63.9,66.6,,,,91.6,152.9,222.4,,,,,
,Warrant Remeasurement,,,,,,,,,,6.5,7.5,,18.2,-66.1,-236.9,,,,15.8,19.1,9.0,,,,,
,Interest expense,,,,,,,,,,1.7,0.5,,-2.2,-2.2,-1.4,,,,0.0,2.6,2.7,,,,,
,Other,,,,,,,,,,-0.5,0.5,,0.0,0.3,1.4,,,,-2.0,21.5,-10.3,,,,,
,Operating Income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,8.5,0.0,16.0,-68.1,-236.9,,,,13.8,43.3,1.4,,,,,
,Pre-Tax Loss,,,,,,,,,,-50.4,-50.5,,-39.5,-131.1,-302.4,,,,-72.9,-102.5,-221.0,,,,,
,Income Tax,,,,,,,,,,0.8,-0.3,,-0.3,-0.2,-0.6,,,,-0.3,-0.6,-1.7,,,,,
,Net Income Pre-NCI,,-65.2,16.8,-73.3,-37.9,-8.1,-32.1,-103.1,-45.2,-49.6,-50.7,-222.7,-39.8,-131.4,-303.1,,,,-73.3,-103.1,-222.7,,,,,
,NCI,,45.2,12.7,-42.7,-27.2,5.1,-22.3,-71.5,-28.9,-31.2,-29.8,-135.1,-20.1,-58.8,-131.1,,,,-42.7,-71.5,-135.1,,,,,
,Net Income Post-NCI,,-20.0,4.1,-30.6,-10.7,2.9,-9.8,-31.6,-16.3,-18.4,-20.9,-87.6,-19.7,-72.6,-171.9,,,,-30.6,-31.6,-87.6,,,,,
,EPS,,-0.39,0.08,-0.37,0.21,0.06,0.18,-0.58,-0.23,-0.24,-0.23,-1.07,-0.16,-0.51,-1.10,,,,-0.59,-0.58,-1.07,,,,,
,Shares,,52,52,52,52,52,53,54,72,76,90,82,121,141,156,,,,52,54,82,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth (YoY),,,,,,162%,70%,11%,-100%,-100%,-100%,-100%,0%,0%,0%,,,,,111%,0%,,,,,
,Gross Margin,,,,39%,17%,70%,39%,51%,0%,0%,0%,0%,100%,100%,100%,,,,39%,51%,0%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,, 51.36 , 87.76 , 318.00 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,212.4,287.6,518.9,,,,,239.276,88.097,,,,,
,Prepaids,,,,,,,,,,,,,5.0,7.4,7.1,,,,,4.1,4.591,,,,,
,OCA,,,,,,,,,,,,,22.0,20.2,19.7,,,,,24.954,14.194,,,,,
,PP&E,,,,,,,,,,,,,245.3,248.2,260.1,,,,,145.989,238.478,,,,,
,Operating Lease,,,,,,,,,,,,,12.8,12.3,12.1,,,,,7.671,13.221,,,,,
,Assets,,,,,,,,,,,,,4.1,4.0,3.9,,,,,16.402,2.311,,,,,
,Total Assets,,,,,,,,,,,,,501.7,579.6,821.6,,,,,438.4,360.9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,14.5,12.2,9.0,,,,,,,,,,,
,Accrued,,,,,,,,,,,,,15.6,13.7,16.5,,,,,,,,,,,
,Contracts,,,,,,,,,,,,,11.7,99.7,79.9,,,,,,,,,,,
,Lease,,,,,,,,,,,,,12.9,12.5,12.6,,,,,,,,,,,
,Debt,,,,,,,,,,,,,161.1,199.8,200.9,,,,,,,,,,,
,Total Liabilities,,,,,,,,,,,,,215.9,337.8,318.8,,,,,,,,,,,
,           ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,-45.2,-49.6,-50.7,,-39.8,-131.4,-303.1,,,,,,,,,,,
,Reported NI,,,,,,,,,-45.2,-49.6,-50.7,,-39.8,-131.4,-303.1,,,,,,,,,,,
,D&A,,,,,,,,,1.7,14.1,19.0,,19.9,20.4,14.5,,,,,,,,,,,
,Debt Issuance,,,,,,,,,0.0,0.0,0.4,,0.9,1.0,1.1,,,,,,,,,,,
,Property Disposal,,,,,,,,,,0.0,0.0,,,2.2,0.0,,,,,,,,,,,
,Warrant Remeasurement,,,,,,,,,-7.5,-6.5,-7.5,,-18.2,29.7,273.3,,,,,,,,,,,
,SBC,,,,,,,,,2.5,5.5,2.6,,4.9,8.9,6.8,,,,,,,,,,,
,PIK Interest,,,,,,,,,,0.0,0.0,,,3.0,0.0,,,,,,,,,,,
,WC,,,,,,,,,10.8,-13.8,0.2,,-15.9,13.6,26.1,,,,,,,,,,,
,CFFO,,,,,,,,,-37.7,-50.3,-36.1,,-48.1,-52.6,18.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,-37.7,-50.3,-36.1,,-48.1,-16.2, (33.43),,,,,,,,,,,
,CapEx,,,,,,,,,-15.4,-7.6,-73.5,,-39.6,-22.2, (30.33),,,,,,,,,,,
,FCF,,,,,,,,,-22.3,-42.7,37.4,,-8.6,-38.4,-63.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
